------------ LAYER #0, NAME = Layer 0 --------------------- 
00 B3 B4 00 00 00 00 00 00 00 00 00 00 29 1E 1F 20 21 22 23 24 25 26 27 2D 2E 2B 14 1A 08 15 17 1C 18 0C 12 13 2F 30 04 16 07 09 0A 0B 0D 0E 0F 33 34 1D 1B 06 19 05 11 10 36 37 38 00 00 4B 4E 00 00 00 00 52 50 51 4F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 05 00 00 2C 00 00 E1 2A 31 35 E5 FB 00 00 E2 2C E7 00 00 00 28 00 00 00 00 00 00 00 E0 00 00 00 00 00 00 00 00 00 00 B2 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
------------ LAYER #1, NAME = Layer 1 FN --------------------- 
[0] KeyCode = 0(0), KeyCodeMapped = 0()
[0] KeyCode = 0(0), KeyCodeMapped = 0()
[2] KeyCode = 2(179), KeyCodeMapped = 58(F1)
[3] KeyCode = 3(180), KeyCodeMapped = 59(F2)
[0] KeyCode = 0(0), KeyCodeMapped = 0()
[0] KeyCode = 0(0), KeyCodeMapped = 0()
[0] KeyCode = 0(0), KeyCodeMapped = 0()
[0] KeyCode = 0(0), KeyCodeMapped = 0()
[0] KeyCode = 0(0), KeyCodeMapped = 0()
[0] KeyCode = 0(0), KeyCodeMapped = 0()
[0] KeyCode = 0(0), KeyCodeMapped = 0()
[0] KeyCode = 0(0), KeyCodeMapped = 0()
[0] KeyCode = 0(0), KeyCodeMapped = 0()
[0] KeyCode = 0(0), KeyCodeMapped = 0()
[14] KeyCode = 14(41), KeyCodeMapped = 53(`)
[15] KeyCode = 15(58), KeyCodeMapped = 30(1)
[16] KeyCode = 16(59), KeyCodeMapped = 31(2)
[17] KeyCode = 17(60), KeyCodeMapped = 32(3)
[18] KeyCode = 18(61), KeyCodeMapped = 33(4)
[19] KeyCode = 19(62), KeyCodeMapped = 34(5)
[20] KeyCode = 20(63), KeyCodeMapped = 35(6)
[21] KeyCode = 21(64), KeyCodeMapped = 36(7)
[22] KeyCode = 22(65), KeyCodeMapped = 37(8)
[23] KeyCode = 23(66), KeyCodeMapped = 38(9)
[24] KeyCode = 24(67), KeyCodeMapped = 39(0)
[25] KeyCode = 25(68), KeyCodeMapped = 45(-)
[26] KeyCode = 26(69), KeyCodeMapped = 46(=)
[27] KeyCode = 27(57), KeyCodeMapped = 43(TAB)
[28] KeyCode = 28(20), KeyCodeMapped = 20(Q)
[29] KeyCode = 29(26), KeyCodeMapped = 26(W)
[30] KeyCode = 30(8), KeyCodeMapped = 8(E)
[31] KeyCode = 31(21), KeyCodeMapped = 21(R)
[32] KeyCode = 32(23), KeyCodeMapped = 23(T)
[33] KeyCode = 33(28), KeyCodeMapped = 28(Y)
[34] KeyCode = 34(24), KeyCodeMapped = 24(U)
[35] KeyCode = 35(12), KeyCodeMapped = 12(I)
[36] KeyCode = 36(18), KeyCodeMapped = 18(O)
[37] KeyCode = 37(19), KeyCodeMapped = 19(P)
